true_intent,predicted_intent,count
verify_my_identity,why_verify_identity,10
unable_to_verify_identity,verify_my_identity,6
pending_transfer,balance_not_updated_after_bank_transfer,5
fiat_currency_support,exchange_via_app,5
declined_transfer,failed_transfer,5
get_disposable_virtual_card,getting_virtual_card,4
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,4
transfer_into_account,topping_up_by_card,4
balance_not_updated_after_bank_transfer,pending_transfer,4
get_physical_card,pin_blocked,3
exchange_charge,exchange_rate,3
pending_top_up,top_up_reverted,3
disposable_card_limits,get_disposable_virtual_card,3
virtual_card_not_working,get_disposable_virtual_card,3
top_up_failed,top_up_reverted,3
card_payment_not_recognised,extra_charge_on_statement,3
declined_transfer,declined_card_payment,3
get_disposable_virtual_card,disposable_card_limits,3
contactless_not_working,card_not_working,3
why_verify_identity,verify_my_identity,3
card_payment_not_recognised,compromised_card,3
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,3
transfer_not_received_by_recipient,failed_transfer,3
transfer_timing,balance_not_updated_after_bank_transfer,3
verify_my_identity,unable_to_verify_identity,3
compromised_card,cash_withdrawal_not_recognised,3
failed_transfer,beneficiary_not_allowed,2
fiat_currency_support,supported_cards_and_currencies,2
extra_charge_on_statement,cash_withdrawal_charge,2
disposable_card_limits,order_physical_card,2
direct_debit_payment_not_recognised,extra_charge_on_statement,2
direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,2
declined_cash_withdrawal,declined_card_payment,2
card_swallowed,declined_cash_withdrawal,2
declined_transfer,card_not_working,2
visa_or_mastercard,order_physical_card,2
virtual_card_not_working,declined_card_payment,2
Refund_not_showing_up,reverted_card_payment?,2
atm_support,card_acceptance,2
transfer_into_account,top_up_by_bank_transfer_charge,2
transfer_fee_charged,top_up_by_bank_transfer_charge,2
topping_up_by_card,transfer_into_account,2
topping_up_by_card,pending_top_up,2
top_up_failed,topping_up_by_card,2
pin_blocked,card_not_working,2
top_up_by_cash_or_cheque,supported_cards_and_currencies,2
top_up_by_bank_transfer_charge,transfer_fee_charged,2
receiving_money,transfer_into_account,2
receiving_money,exchange_via_app,2
pin_blocked,get_physical_card,2
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,2
pending_top_up,top_up_failed,2
order_physical_card,card_acceptance,2
getting_spare_card,order_physical_card,2
top_up_by_cash_or_cheque,topping_up_by_card,2
card_arrival,card_delivery_estimate,2
beneficiary_not_allowed,failed_transfer,2
card_not_working,declined_card_payment,2
wrong_amount_of_cash_received,declined_cash_withdrawal,2
card_payment_fee_charged,direct_debit_payment_not_recognised,2
balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,2
card_about_to_expire,order_physical_card,2
get_disposable_virtual_card,order_physical_card,2
card_delivery_estimate,country_support,2
card_payment_not_recognised,direct_debit_payment_not_recognised,2
topping_up_by_card,balance_not_updated_after_cheque_or_cash_deposit,1
top_up_by_bank_transfer_charge,transfer_into_account,1
top_up_by_card_charge,topping_up_by_card,1
top_up_by_cash_or_cheque,balance_not_updated_after_cheque_or_cash_deposit,1
top_up_by_cash_or_cheque,card_acceptance,1
top_up_by_cash_or_cheque,cash_withdrawal_charge,1
beneficiary_not_allowed,contactless_not_working,1
top_up_failed,card_not_working,1
top_up_reverted,top_up_by_cash_or_cheque,1
top_up_failed,declined_card_payment,1
top_up_failed,pending_top_up,1
top_up_reverted,pending_top_up,1
top_up_failed,top_up_limits,1
balance_not_updated_after_cheque_or_cash_deposit,unable_to_verify_identity,1
balance_not_updated_after_cheque_or_cash_deposit,topping_up_by_card,1
top_up_limits,top_up_by_bank_transfer_charge,1
beneficiary_not_allowed,balance_not_updated_after_bank_transfer,1
cancel_transfer,transfer_not_received_by_recipient,1
pending_transfer,pending_card_payment,1
pending_transfer,transfer_fee_charged,1
pending_transfer,transfer_not_received_by_recipient,1
pending_transfer,transfer_timing,1
cancel_transfer,reverted_card_payment?,1
pin_blocked,change_pin,1
cancel_transfer,failed_transfer,1
beneficiary_not_allowed,request_refund,1
beneficiary_not_allowed,pin_blocked,1
request_refund,Refund_not_showing_up,1
top_up_reverted,topping_up_by_card,1
request_refund,card_payment_wrong_exchange_rate,1
request_refund,cash_withdrawal_not_recognised,1
reverted_card_payment?,card_not_working,1
reverted_card_payment?,request_refund,1
reverted_card_payment?,top_up_reverted,1
supported_cards_and_currencies,top_up_by_card_charge,1
top_up_by_bank_transfer_charge,beneficiary_not_allowed,1
top_up_by_bank_transfer_charge,order_physical_card,1
top_up_by_bank_transfer_charge,receiving_money,1
top_up_by_bank_transfer_charge,terminate_account,1
top_up_by_bank_transfer_charge,top_up_by_card_charge,1
request_refund,cancel_transfer,1
unable_to_verify_identity,transfer_into_account,1
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,1
unable_to_verify_identity,why_verify_identity,1
verify_my_identity,atm_support,1
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,1
wrong_amount_of_cash_received,unable_to_verify_identity,1
verify_source_of_funds,why_verify_identity,1
verify_top_up,pending_top_up,1
activate_my_card,card_linking,1
atm_support,declined_cash_withdrawal,1
pending_top_up,topping_up_by_card,1
automatic_top_up,card_payment_not_recognised,1
automatic_top_up,top_up_by_bank_transfer_charge,1
automatic_top_up,top_up_failed,1
why_verify_identity,unable_to_verify_identity,1
virtual_card_not_working,card_not_working,1
virtual_card_not_working,contactless_not_working,1
Refund_not_showing_up,request_refund,1
virtual_card_not_working,disposable_card_limits,1
